X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
104.503,-3234.65,-38.814,0.004,0.003,0,0.003,15.9989,-0.221125,0.349658,0.703369,0.578027,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:06:55.293,FALSE,
-234.345,-3225.274,-26.392,0.001,0.001,0,0.001,20.8559,0.319313,-0.222465,-0.738629,-0.550433,0.2,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:07:03.352,FALSE,
-240.384,-3219.609,147.206,0.004,0.004,0,0.002,23.579,0.381465,-0.15536,-0.630183,-0.658193,0.22,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:07:10.272,FALSE,
-387.091,-3291.116,54.449,0.005,0.004,0.001,0.003,37.5789,0.33338,0.035309,-0.700334,-0.630193,0.29,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:07:17.372,FALSE,
-324.762,-3264.289,-107.229,0.005,0.004,0,0.003,32.3909,-0.289104,0.071806,0.784576,0.543785,0.27,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:07:24.172,FALSE,
0.105,-3281.153,-245.725,0.003,0.003,0,0.002,33.0367,-0.189118,0.282727,0.812095,0.474132,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:07:32.152,FALSE,
-136.138,-3295.137,-227.362,0.004,0.003,0,0.002,34.8803,-0.195376,0.117482,0.844776,0.484128,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:07:39.112,FALSE,
-103.104,-3278.239,-218.174,0.002,0.001,0,0.001,30.1883,-0.3162,0.289235,0.777186,0.460807,0.18,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:07:45.272,FALSE,
-101.079,-3226.681,-65.423,0.004,0.003,0,0.002,21.9765,0.433792,-0.213974,-0.672792,-0.559814,0.22,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:07:52.032,FALSE,
-150.214,-3245.595,84.298,0.005,0.003,0,0.004,37.802,0.391418,0.029116,-0.631634,-0.668568,0.29,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:07:58.632,FALSE,
-373.077,-3299.787,42.03,0.003,0.002,0,0.002,17.8597,0.705165,-0.533538,-0.274282,-0.377952,0.12,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:08:07.132,FALSE,
-255.566,-3293.094,-27.523,0.004,0.004,0,0.001,41.2347,-0.258687,-0.18722,0.661958,0.678116,0.3,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:08:15.592,FALSE,
-214.388,-3316.416,-257.459,0.003,0.002,0,0.002,40.7545,0.043051,-0.194866,0.864961,0.460452,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:08:23.532,FALSE,
310.281,-3375.68,-245.451,0.003,0.003,0,0.002,35.2448,0.56736,-0.772024,0.286477,0.003598,0.15,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:08:32.973,FALSE,
184.542,-3293.785,-147.794,0.005,0.005,0,0.002,35.7221,0.520312,-0.817804,0.245895,-0.002739,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:08:40.232,FALSE,
156.605,-3286.62,-251.804,0.005,0.004,0,0.002,39.0869,0.4839,-0.808293,0.327569,0.072125,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:08:47.373,FALSE,
119.824,-3287.439,-220.623,0.003,0.002,0,0.003,36.036,0.458197,-0.745395,0.446396,0.187546,0.16,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:08:54.692,FALSE,
-78.654,-3254.616,-167.465,0.004,0.003,0,0.002,23.741,0.561094,-0.811969,0.132963,0.090565,0.17,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:09:02.412,FALSE,
140.25,-3322.073,-278.846,0.004,0.004,0,0.002,34.4765,0.541217,-0.817756,0.193716,-0.028864,0.22,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:09:09.812,FALSE,
116.327,-3348.561,-308.63,0.003,0.002,0,0.002,30.4451,0.563221,-0.816882,0.062011,-0.107889,0.31,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:09:16.292,FALSE,
-151.31,-3336.484,-257.922,0.006,0.005,0,0.003,22.0391,0.594877,-0.800738,0.026266,0.065194,0.27,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:09:24.052,FALSE,
-276.382,-3389.366,-302.631,0.005,0.005,0,0.001,44.4577,0.444401,-0.889708,-0.013572,0.103651,0.3,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:09:31.112,FALSE,
374.92,-3391.215,-243.343,0.007,0.007,0.001,0.003,35.1677,0.628782,-0.743792,0.176522,-0.142292,0.24,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:09:40.652,FALSE,
347.926,-3277.471,7.989,0.004,0.004,0.001,0.002,38.8766,0.552066,-0.787753,0.260592,-0.082216,0.23,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:09:49.132,FALSE,
292.841,-3273.506,142.626,0.007,0.006,0.001,0.004,26.8896,0.586586,-0.780529,0.215359,-0.017618,0.25,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:09:56.032,FALSE,
104.101,-3223.027,-156.559,0.002,0.002,0,0.001,24.8635,0.572207,-0.816947,0.039409,-0.0602,0.12,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:10:03.872,FALSE,
-168.336,-3242.202,-169.291,0.003,0.001,0,0.003,26.9539,0.554892,-0.806707,-0.193266,-0.062988,0.2,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:10:11.752,FALSE,
-319.162,-3320.102,-104.584,0.004,0.003,0,0.003,45.136,0.435719,-0.780398,-0.440673,-0.083277,0.28,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:10:18.932,FALSE,
-320.078,-3262.661,-34.879,0.003,0.003,0.001,0.001,36.2428,0.534316,-0.747971,-0.388903,-0.061651,0.26,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:10:25.732,FALSE,
