X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
419.273,-3755.06,146.472,0.003,0.002,0,0.003,32.728,0.85543,-0.514893,0.038982,-0.040061,0.22,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:24.613,FALSE,
416.401,-3752.601,143.8,0.007,0.006,0.001,0.004,32.6755,0.855433,-0.514894,0.038963,-0.040021,0.26,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:30.493,FALSE,
413.513,-3750.136,141.109,0.003,0.002,0,0.002,32.6207,0.855437,-0.514894,0.038861,-0.040016,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:36.173,FALSE,
410.621,-3747.666,138.401,0.004,0.004,0,0.002,32.562,0.855421,-0.514928,0.038773,-0.040013,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:41.633,FALSE,
407.76,-3745.207,135.704,0.004,0.003,0.001,0.003,32.5121,0.855433,-0.51491,0.038767,-0.039988,0.2,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:47.293,FALSE,
404.9,-3742.755,133.025,0.006,0.006,0.001,0.001,32.4635,0.855438,-0.514898,0.038778,-0.040021,0.23,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:53.093,FALSE,
402.051,-3740.305,130.348,0.006,0.004,0.001,0.004,32.4128,0.855432,-0.514907,0.03885,-0.039981,0.27,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:58.793,FALSE,
399.179,-3737.851,127.647,0.005,0.003,0,0.004,32.3534,0.855382,-0.514983,0.03883,-0.040074,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:04.314,FALSE,
396.317,-3735.392,124.947,0.008,0.007,0.001,0.003,32.2971,0.85535,-0.515031,0.038777,-0.040193,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:10.013,FALSE,
393.451,-3732.945,122.253,0.004,0.004,0.001,0.001,32.2458,0.855344,-0.515038,0.038796,-0.040218,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:15.613,FALSE,
